epoch,lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,lr-AdamW/pg4,lr-AdamW/pg5,lr-AdamW/pg6,step,train_loss_step,val_acc,val_f1,val_loss,val_precision,val_recall
,3.3333333333333335e-05,1.0546874999999999e-05,1.40625e-05,1.8750000000000002e-05,2.5e-05,7.91015625e-06,0,,,,,,
0,,,,,,,9,0.13307002186775208,,,,,
0,,,,,,,19,0.14668403565883636,,,,,
0,,,,,,,25,,0.9313725233078003,0.9309477806091309,0.037626732140779495,0.9303718209266663,0.931705892086029
